🕘️更新时间,#genre#
2026-09-04 11:05:37,https://live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8?E=&U=&A=&K=&P=&S=

央视卫视,#genre#
CCTV1,https://live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV1,http://124.77.202.8:49155/608807420
CCTV1,http://139.224.111.181:3000/608807420
CCTV1,http://39.107.95.182:3000/608807420
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2,https://live2.rxip.sc96655.com/live/CCTV-2H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV2,http://124.77.202.8:49155/631780532
CCTV2,http://139.224.111.181:3000/631780532
CCTV2,http://39.107.95.182:3000/631780532
CCTV3,https://live2.rxip.sc96655.com/live/CCTV-3H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV3,http://124.77.202.8:49155/624878271
CCTV3,http://139.224.111.181:3000/624878271
CCTV3,http://39.107.95.182:3000/624878271
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4,https://live2.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV4,http://124.77.202.8:49155/631780421
CCTV4,http://139.224.111.181:3000/631780421
CCTV4,http://39.107.95.182:3000/631780421
CCTV5,https://live2.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV5,http://124.77.202.8:49155/641886683
CCTV5,http://139.224.111.181:3000/641886683
CCTV5,http://39.107.95.182:3000/641886683
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,https://live2.rxip.sc96655.com/live/CCTV-5plusH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV5+,http://124.77.202.8:49155/641886773
CCTV5+,http://139.224.111.181:3000/641886773
CCTV5+,http://39.107.95.182:3000/641886773
CCTV6,https://live2.rxip.sc96655.com/live/CCTV-6H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV6,http://124.77.202.8:49155/624878396
CCTV6,http://139.224.111.181:3000/624878396
CCTV6,http://39.107.95.182:3000/624878396
CCTV7,https://live2.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV7,http://124.77.202.8:49155/673168121
CCTV7,http://139.224.111.181:3000/673168121
CCTV7,http://39.107.95.182:3000/673168121
CCTV8,https://live2.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV8,http://124.77.202.8:49155/624878356
CCTV8,http://139.224.111.181:3000/624878356
CCTV8,http://39.107.95.182:3000/624878356
CCTV9,https://live2.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV9,http://124.77.202.8:49155/673168140
CCTV9,http://139.224.111.181:3000/673168140
CCTV9,http://39.107.95.182:3000/673168140
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10,https://live2.rxip.sc96655.com/live/CCTV-10H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV10,http://124.77.202.8:49155/624878405
CCTV10,http://139.224.111.181:3000/624878405
CCTV10,http://39.107.95.182:3000/624878405
CCTV11,https://live2.rxip.sc96655.com/live/CCTV-11-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV11,http://124.77.202.8:49155/667987558
CCTV11,http://139.224.111.181:3000/667987558
CCTV11,http://39.107.95.182:3000/667987558
CCTV12,https://live2.rxip.sc96655.com/live/CCTV-12H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV12,http://124.77.202.8:49155/673168185
CCTV12,http://139.224.111.181:3000/673168185
CCTV12,http://39.107.95.182:3000/673168185
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13,https://live2.rxip.sc96655.com/live/CCTV-xw_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV13,http://124.77.202.8:49155/608807423
CCTV13,http://139.224.111.181:3000/608807423
CCTV13,http://39.107.95.182:3000/608807423
CCTV14,https://live2.rxip.sc96655.com/live/CCTV-14H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV14,http://124.77.202.8:49155/624878440
CCTV14,http://139.224.111.181:3000/624878440
CCTV14,http://39.107.95.182:3000/624878440
CCTV15,https://live2.rxip.sc96655.com/live/CCTV-15-yyH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV15,http://124.77.202.8:49155/673168223
CCTV15,http://139.224.111.181:3000/673168223
CCTV15,http://39.107.95.182:3000/673168223
CCTV16,https://live2.rxip.sc96655.com/live/CCTV-16_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV16-4k,https://live2.rxip.sc96655.com/live/CCTV-16-4K_8000.m3u8?E=&U=&A=&K=&P=&S=
CCTV17,https://live2.rxip.sc96655.com/live/CCTV-17_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV17,http://124.77.202.8:49155/673168256
CCTV17,http://139.224.111.181:3000/673168256
CCTV17,http://39.107.95.182:3000/673168256
CCTV17,https://live.264788.xyz/channel/cctv17?streamid=f9c36f1e95b5b35eac89cc89583e7c0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV4K,https://live2.rxip.sc96655.com/live/ys4Kcq_2000.m3u8?E=&U=&A=&K=&P=&S=
CETV1,https://live2.rxip.sc96655.com/live/CETV-1H264_4000.m3u8?E=&U=&A=&K=&P=&S=
CETV1,http://124.77.202.8:49155/923287154
CETV1,http://139.224.111.181:3000/923287154
CETV1,http://39.107.95.182:3000/923287154
CETV4,https://live2.rxip.sc96655.com/live/CETV-4H264_2000.m3u8?E=&U=&A=&K=&P=&S=
CETV4,http://124.77.202.8:49155/923287339
CETV4,http://139.224.111.181:3000/923287339
CETV4,http://39.107.95.182:3000/923287339
CGTN,http://124.77.202.8:49155/609017205
CGTN,http://139.224.111.181:3000/609017205
CGTN,http://39.107.95.182:3000/609017205
CGTN-英语,https://live2.rxip.sc96655.com/live/CGTN_4000.m3u8?E=&U=&A=&K=&P=&S=
CGTN-西语,https://live2.rxip.sc96655.com/live/xbyy_2000.m3u8?E=&U=&A=&K=&P=&S=
CGTN-西语,http://124.77.202.8:49155/609006450
CGTN-西语,http://139.224.111.181:3000/609006450
CGTN-西语,http://39.107.95.182:3000/609006450
CGTN-法语,https://live2.rxip.sc96655.com/live/fy_2000.m3u8?E=&U=&A=&K=&P=&S=
CGTN-法语,http://124.77.202.8:49155/609006476
CGTN-法语,http://139.224.111.181:3000/609006476
CGTN-法语,http://39.107.95.182:3000/609006476
CGTN-法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN-俄语,https://live2.rxip.sc96655.com/live/ey_2000.m3u8?E=&U=&A=&K=&P=&S=
CGTN-俄语,http://124.77.202.8:49155/609006446
CGTN-俄语,http://139.224.111.181:3000/609006446
CGTN-俄语,http://39.107.95.182:3000/609006446
湖南卫视,https://live2.rxip.sc96655.com/live/hnwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
安徽卫视,https://live2.rxip.sc96655.com/live/ahwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
北京卫视,https://live2.rxip.sc96655.com/live/bjwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
北京卫视,http://124.77.202.8:49155/630287636
北京卫视,http://139.224.111.181:3000/630287636
北京卫视,http://39.107.95.182:3000/630287636
东方卫视,https://live2.rxip.sc96655.com/live/dfwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
东方卫视,http://124.77.202.8:49155/651632648
东方卫视,http://139.224.111.181:3000/651632648
东方卫视,http://39.107.95.182:3000/651632648
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
浙江卫视,https://live2.rxip.sc96655.com/live/zjwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
江苏卫视,https://live2.rxip.sc96655.com/live/jswsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
江苏卫视,http://124.77.202.8:49155/623899368
江苏卫视,http://139.224.111.181:3000/623899368
江苏卫视,http://39.107.95.182:3000/623899368
四川卫视,https://live2.rxip.sc96655.com/live/scwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川卫视,https://live.264788.xyz/channel/sichuanweishi4k?streamid=401bf692a1a8b91298f26077d53316d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
四川卫视,https://live.264788.xyz/channel/sichuanweishi4k?streamid=21be5901ee81559c827dc84e46f26452&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
重庆卫视,https://live2.rxip.sc96655.com/live/cqwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
重庆卫视,http://124.77.202.8:49155/738910914
重庆卫视,http://139.224.111.181:3000/738910914
重庆卫视,http://39.107.95.182:3000/738910914
东南卫视,https://live2.rxip.sc96655.com/live/dnwsfjwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
东南卫视,http://124.77.202.8:49155/849116810
东南卫视,http://139.224.111.181:3000/849116810
东南卫视,http://39.107.95.182:3000/849116810
甘肃卫视,https://live2.rxip.sc96655.com/live/gsws_4000.m3u8?E=&U=&A=&K=&P=&S=
广东卫视,https://live2.rxip.sc96655.com/live/gdwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
广东卫视,http://124.77.202.8:49155/608831231
广东卫视,http://139.224.111.181:3000/608831231
广东卫视,http://39.107.95.182:3000/608831231
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广西卫视,https://live2.rxip.sc96655.com/live/gxws_4000.m3u8?E=&U=&A=&K=&P=&S=
贵州卫视,https://live2.rxip.sc96655.com/live/gzwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
贵州卫视,https://live.264788.xyz/channel/guizhouweishi?streamid=091bd59ea031989839c23459bb8cc9d4&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
海南卫视,https://live2.rxip.sc96655.com/live/hnws_4000.m3u8?E=&U=&A=&K=&P=&S=
海南卫视,http://124.77.202.8:49155/947472502
海南卫视,http://139.224.111.181:3000/947472502
海南卫视,http://39.107.95.182:3000/947472502
河南卫视,https://live2.rxip.sc96655.com/live/hnws35_4000.m3u8?E=&U=&A=&K=&P=&S=
河南卫视,http://124.77.202.8:49155/790187291
河南卫视,http://139.224.111.181:3000/790187291
河南卫视,http://39.107.95.182:3000/790187291
湖北卫视,https://live2.rxip.sc96655.com/live/hbwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
湖北卫视,http://124.77.202.8:49155/947472496
湖北卫视,http://139.224.111.181:3000/947472496
湖北卫视,http://39.107.95.182:3000/947472496
吉林卫视,https://live2.rxip.sc96655.com/live/jlwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
吉林卫视,http://124.77.202.8:49155/947472500
吉林卫视,http://139.224.111.181:3000/947472500
吉林卫视,http://39.107.95.182:3000/947472500
江西卫视,https://live2.rxip.sc96655.com/live/jxwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
江西卫视,http://124.77.202.8:49155/783847495
江西卫视,http://139.224.111.181:3000/783847495
江西卫视,http://39.107.95.182:3000/783847495
深圳卫视,https://live2.rxip.sc96655.com/live/szwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
辽宁卫视,https://live2.rxip.sc96655.com/live/lnwsHDH264_4000.m3u8?E=&U=&A=&K=&P=&S=
辽宁卫视,http://124.77.202.8:49155/630291707
辽宁卫视,http://139.224.111.181:3000/630291707
辽宁卫视,http://39.107.95.182:3000/630291707
山东卫视,https://live2.rxip.sc96655.com/live/sdwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
山西卫视,https://live2.rxip.sc96655.com/live/sxws42_4000.m3u8?E=&U=&A=&K=&P=&S=
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=eeb7d60ca6e0db131ea7a092a3cd28d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
陕西卫视,https://live2.rxip.sc96655.com/live/sxws_4000.m3u8?E=&U=&A=&K=&P=&S=
陕西卫视,http://124.77.202.8:49155/738910838
陕西卫视,http://139.224.111.181:3000/738910838
陕西卫视,http://39.107.95.182:3000/738910838
陕西卫视,https://live.264788.xyz/channel/shaanxiweishi?streamid=9dc887dba8ecb4e4143baf4f2373800c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
天津卫视,https://live2.rxip.sc96655.com/live/tjwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
西藏卫视,https://live2.rxip.sc96655.com/live/xzwsH264_2000.m3u8?E=&U=&A=&K=&P=&S=
云南卫视,https://live2.rxip.sc96655.com/live/ynws_4000.m3u8?E=&U=&A=&K=&P=&S=
黑龙江卫视,https://live2.rxip.sc96655.com/live/hljwsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
黑龙江卫视,http://124.77.202.8:49155/738906901
黑龙江卫视,http://139.224.111.181:3000/738906901
黑龙江卫视,http://39.107.95.182:3000/738906901
内蒙古卫视,https://live2.rxip.sc96655.com/live/nmgws_4000.m3u8?E=&U=&A=&K=&P=&S=
内蒙古卫视,http://play1-qk.nmtv.cn/live/1769652018126032.m3u8
山东教育卫视,https://live2.rxip.sc96655.com/live/sdjy_4000.m3u8?E=&U=&A=&K=&P=&S=
山东教育卫视,http://124.77.202.8:49155/609154353
山东教育卫视,http://139.224.111.181:3000/609154353
山东教育卫视,http://39.107.95.182:3000/609154353
兵团卫视,https://live2.rxip.sc96655.com/live/btws_4000.m3u8?E=&U=&A=&K=&P=&S=
兵团卫视,http://124.77.202.8:49155/956923145
兵团卫视,http://139.224.111.181:3000/956923145
兵团卫视,http://39.107.95.182:3000/956923145
康巴卫视,https://live2.rxip.sc96655.com/live/kbwsH264_2000.m3u8?E=&U=&A=&K=&P=&S=

数字频道,#genre#
凤凰中文,https://live2.rxip.sc96655.com/live/test1_4000.m3u8?E=&U=&A=&K=&P=&S=
凤凰资讯,https://live2.rxip.sc96655.com/live/test2_4000.m3u8?E=&U=&A=&K=&P=&S=
星空卫视,https://live2.rxip.sc96655.com/live/XKWS-HD_4000.m3u8?E=&U=&A=&K=&P=&S=
V音乐台,https://live2.rxip.sc96655.com/live/VMUSIC-HD_4000.m3u8?E=&U=&A=&K=&P=&S=
重温经典,https://live2.rxip.sc96655.com/live/CWJD_4000.m3u8?E=&U=&A=&K=&P=&S=
欢笑剧场4K,https://live2.rxip.sc96655.com/live/hxjc-4k_8000.m3u8?E=&U=&A=&K=&P=&S=
CHC影迷电影,https://live2.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CHC影迷电影,http://124.77.202.8:49155/952383261
CHC影迷电影,http://139.224.111.181:3000/952383261
CHC影迷电影,http://39.107.95.182:3000/952383261
CHC动作电影,https://live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CHC动作电影,http://124.77.202.8:49155/644368714
CHC动作电影,http://139.224.111.181:3000/644368714
CHC动作电影,http://39.107.95.182:3000/644368714
CHC家庭影院,https://live2.rxip.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CHC家庭影院,http://124.77.202.8:49155/644368373
CHC家庭影院,http://139.224.111.181:3000/644368373
CHC家庭影院,http://39.107.95.182:3000/644368373
新视觉,https://live2.rxip.sc96655.com/live/ycxsjH265_4000.m3u8?E=&U=&A=&K=&P=&S=
动漫秀场,https://live2.rxip.sc96655.com/live/yybb-dmxc-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
都市剧场,https://live2.rxip.sc96655.com/live/yxfydsjcHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
都市剧场,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8
法治天地,https://live2.rxip.sc96655.com/live/fztx_4000.m3u8?E=&U=&A=&K=&P=&S=
北京纪实科教,https://live2.rxip.sc96655.com/live/bjjs_2000.m3u8?E=&U=&A=&K=&P=&S=
嘉佳卡通,https://live2.rxip.sc96655.com/live/jjkt_2000.m3u8?E=&U=&A=&K=&P=&S=
嘉佳卡通,http://124.77.202.8:49155/614952364
嘉佳卡通,http://139.224.111.181:3000/614952364
嘉佳卡通,http://39.107.95.182:3000/614952364
财富天下,https://live2.rxip.sc96655.com/live/cftx_4000.m3u8?E=&U=&A=&K=&P=&S=
财富天下,http://124.77.202.8:49155/956923159
财富天下,http://139.224.111.181:3000/956923159
财富天下,http://39.107.95.182:3000/956923159
金鹰纪实,https://live2.rxip.sc96655.com/live/jyjsHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
金鹰卡通,https://live2.rxip.sc96655.com/live/jykt_2000.m3u8?E=&U=&A=&K=&P=&S=
劲爆体育,https://live2.rxip.sc96655.com/live/lqhxjcHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
卡酷少儿,https://live2.rxip.sc96655.com/live/kkkt_4000.m3u8?E=&U=&A=&K=&P=&S=
快乐垂钓,https://live2.rxip.sc96655.com/live/fyzqklcdHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
快乐垂钓,http://124.77.202.8:49155/961930263
快乐垂钓,http://139.224.111.181:3000/961930263
快乐垂钓,http://39.107.95.182:3000/961930263
梨园频道,https://live2.rxip.sc96655.com/live/ly_4000.m3u8?E=&U=&A=&K=&P=&S=
梨园频道,http://124.77.202.8:49155/961930369
梨园频道,http://139.224.111.181:3000/961930369
梨园频道,http://39.107.95.182:3000/961930369
生活时尚,https://live2.rxip.sc96655.com/live/shssH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四海钓鱼,https://live2.rxip.sc96655.com/live/shdy_4000.m3u8?E=&U=&A=&K=&P=&S=
四海钓鱼,http://124.77.202.8:49155/637444975
四海钓鱼,http://139.224.111.181:3000/637444975
四海钓鱼,http://39.107.95.182:3000/637444975
天元围棋,https://live2.rxip.sc96655.com/live/tywq_2000.m3u8?E=&U=&A=&K=&P=&S=
武术世界,https://live2.rxip.sc96655.com/live/wssj_4000.m3u8?E=&U=&A=&K=&P=&S=
武术世界,http://124.77.202.8:49155/958475359
武术世界,http://139.224.111.181:3000/958475359
武术世界,http://39.107.95.182:3000/958475359
中国天气,https://live2.rxip.sc96655.com/live/zgqx_4000.m3u8?E=&U=&A=&K=&P=&S=
中国天气,http://124.77.202.8:49155/959986621
中国天气,http://139.224.111.181:3000/959986621
中国天气,http://39.107.95.182:3000/959986621
川网导视,https://live2.rxip.sc96655.com/live/cwdsHDH264_4000.m3u8?E=&U=&A=&K=&P=&S=
精品导视,https://live2.rxip.sc96655.com/live/jpdsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
乐游,https://live2.rxip.sc96655.com/live/qjs-HDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
中央新影-老故事,https://live2.rxip.sc96655.com/live/lgs_2000.m3u8?E=&U=&A=&K=&P=&S=
中央新影-老故事,http://124.77.202.8:49155/884121956
中央新影-老故事,http://139.224.111.181:3000/884121956
中央新影-老故事,http://39.107.95.182:3000/884121956
中央新影-中学生,https://live2.rxip.sc96655.com/live/zxs_4000.m3u8?E=&U=&A=&K=&P=&S=
中央新影-中学生,http://124.77.202.8:49155/708869532
中央新影-中学生,http://139.224.111.181:3000/708869532
中央新影-中学生,http://39.107.95.182:3000/708869532
中央新影-发现之旅,https://live2.rxip.sc96655.com/live/fxzl_2000.m3u8?E=&U=&A=&K=&P=&S=
中央新影-发现之旅,http://124.77.202.8:49155/624878970
中央新影-发现之旅,http://139.224.111.181:3000/624878970
中央新影-发现之旅,http://39.107.95.182:3000/624878970

四川地方台,#genre#
天府4K,https://live2.rxip.sc96655.com/live/tfcq-4k_8000.m3u8?E=&U=&A=&K=&P=&S=
峨眉电影4K,https://live2.rxip.sc96655.com/live/emdy4k_8000.m3u8?E=&U=&A=&K=&P=&S=
峨嵋电影,https://live2.rxip.sc96655.com/live/emdygqH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川经济,https://live2.rxip.sc96655.com/live/SCTV-2-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川文化,https://live2.rxip.sc96655.com/live/SCTV-3-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川新闻,https://live2.rxip.sc96655.com/live/SCTV-4H265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川影视,https://live2.rxip.sc96655.com/live/SCTV-5-scysH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川妇女,https://live2.rxip.sc96655.com/live/SCTV-7-_4000.m3u8?E=&U=&A=&K=&P=&S=
四川科教,https://live2.rxip.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8?E=&U=&A=&K=&P=&S=
四川乡村,https://live2.rxip.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8?E=&U=&A=&K=&P=&S=
成都新闻,https://live2.rxip.sc96655.com/live/CDTV-1_4000.m3u8?E=&U=&A=&K=&P=&S=
